,Name der Münze,Herkunftsland,Ausgabejahr,Menge in Mill.,Landspezifisch?,Prägestätte,Wert,Details
11,60 Jahre Vereinte Nationen und 50 Jahre UN-Mitgliedschaft Finnlands,Finland,2005,2.0,False,,2 euro,"Anlässlich der 50-jährigen Mitgliedschaft Finnlands in den Vereinten Nationen zeigt die Münze Puzzleteile, die zusammengesetzt eine Friedenstaube ergeben, die einen Ölbaumzweig im Schnabel trägt. Unten links ist die Inschrift „FINLAND — UN“ (Staatsbezeichnung auf Englisch und Schwedisch, UN als Akronym für United Nations / Vereinte Nationen) und rechts das Ausgabejahr „2005“ dargestellt. Das Signet „K“ des Designers Tapio Kettunen erscheint rechts über der Jahreszahl, während das Münzmeisterzeichen „M“ für Raimo Tapio Makkonen sich links davon befindet. Gefertigt wurde die Münze in der Prägestätte Suomen Rahapaja (Finnische Münze) in Vantaa. Abweichend von der normalen Randprägung lautet die Randinschrift [], gefolgt von drei Löwenköpfen (der Löwe ist das Wappentier Finnlands). YK und FN sind die Akronyme für Vereinte Nationen auf Finnisch und Schwedisch."
8,Belgisch-Luxemburgische Wirtschaftsunion,Belgium,2005,6.023,False,,2 euro,"Die aus Anlass der 1921 gebildeten (und 1922 in Kraft getretenen) Belgisch-Luxemburgischen Wirtschaftsunion von Luc Luycx gestaltete Gedenkmünze zeigt die nach links blickenden Bildnisse und gekrönten Monogramme von Großherzog Henri von Luxemburg (links) und König Albert II. von Belgien (rechts). Auf dem Ring sind ihnen ihre Monogramme seitlich zugeordnet; oben und unten stehen jeweils sechs Europasterne. Das Ausgabejahr „2005“ ist unter den Porträts dargestellt, die Initialen „LL“ des Designers erscheinen unten rechts. Die beiden unteren Sterne werden flankiert links vom behelmten Kopf des Erzengels Michael als Münzstättenzeichen40 der Monnaie Royale de Belgique / Koninklijke Munt van België / Königlichen Belgischen Münze in Brüssel, rechts einer Waage als Münzmeisterzeichen Romain Coenens. Die Münze trägt keine Bezeichnung des ausgebenden Staates. Die Münze war ursprünglich als Gemeinschaftsausgabe von Belgien und Luxemburg geplant. Da Luxemburg im Jahr 2005 bereits eine eigene 2-Euro-Gedenkmünze ausgegeben hatte, wurde die Münze nur von Belgien emittiert."
10,Jahr der Physik,San Marino,2005,0.13,False,,2 euro,"Galileo Galilei (1564–1642) war ein italienischer Universalgelehrter – Philosoph, Mathematiker, Ingenieur, Physiker, Astronom und Kosmologe. Er entwickelte die Methode, die Natur durch die Kombination von Experimenten, Messungen und mathematischen Analysen zu erforschen, und wurde damit einer der wichtigsten Begründer der neuzeitlichen exakten Naturwissenschaften. Da er für das kopernikanische Weltbild eintrat, führte die katholische Kirche 1632 einen Inquisitionsprozess gegen ihn und zwang ihn zu widerrufen.47 Das Münzbild ist eine freie Interpretation des um 1335 von Andrea Pisano für Giottos Glockenturm in Florenz geschaffenen Reliefs La fisica antica (Die alte Physik) oder Das Studium der Planeten48 und zeigt Galilei mit seinen 1609 gebauten, 90 bzw. 130 cm langen Fernrohren,49 auf den Knien eine Schriftrolle. Im Hintergrund ist ein stilisiertes Atom durch sechs Elektronen und deren Kreisbahnen dargestellt, die bis zwischen die Europasterne reichen. Unten steht halbkreisförmig der Ausgabeanlass „ANNO MONDIALE DELLA FISICA“ (Internationales Jahr der Physik), oben „SAN MARINO“. Die Jahreszahl „2005“ erscheint unter einem auf dem Tisch stehenden Globus. Das Münzstättenzeichen „R“ der italienischen Prägestätte Istituto Poligrafico e Zecca dello Stato in Rom ist links dargestellt, das Signet „LDS“ der Münzgestalterin Luciana De Simoni rechts."
13,XX. Weltjugendtag – Köln 2005,Vatican,2005,0.1,False,,2 euro,"Der Kölner Dom mit seinen zwei 157 m hohen Türmen ist eine der größten Kathedralen im gotischen Baustil. Sein Bau wurde 1248 begonnen und erst 1880, nach mehr als 600 Jahren, vollendet. Schon damals als Nationalsymbol für Deutschland bezeichnet, wurde der (scheinbar) unversehrte Dom nach dem Ende des Zweiten Weltkriegs inmitten der ausgebombten Stadt als emotionales Symbol für den Lebenswillen verstanden. Die Münze zeigt den seit 1996 als UNESCO-Weltkulturerbe geltenden Dom am Ufer des Rheins und einen darüber erscheinenden Kometen als dem Stern von Betlehem ähnelndes himmlisches Zeichen. Der Ausgabeanlass „XX GIORNATA MONDIALE DELLA GIOVENTU’“ (20. Weltjugendtag) wird kreisförmig in einem Bogen um das Motiv herum genannt. Der Staatsname „CITTÀ DEL VATICANO“ (Vatikanstadt) ist in einem Halbkreis im unteren Teil des Rings angeordnet, während oben das Münzstättenzeichen „R“ der italienischen Prägestätte Istituto Poligrafico e Zecca dello Stato in Rom erscheint und darunter die Jahreszahl „2005“ – beidseitig durch je sechs Europasterne flankiert. Die Signets „LONGO“ der Designerin Daniela Longo und „E.L.F. INC.“ (INC. = Incisore / Graveur) des Medailleurs Ettore Lorenzo Frapiccini sind unten links bzw. rechts dargestellt."
22,"100 Jahre allgemeine, gleiche, geheime und freie Wahlen",Finland,2006,2.5,False,,2 euro,"Die Münze zeigt zwei Gesichter, ein männliches und ein weibliches, die durch eine dünne, geschwungene Linie getrennt sind. Auf der linken Seite steht „1.10. 1906“, das Datum der Einführung des Frauenwahlrechts in Finnland, rechts das Ausgabejahr „2006“, zweigeteilt vom Landeskürzel „FI“. Die Initialen „M“ – jeweils einmal neben beiden Gesichtern – stehen für den Münzdesigner Pertti Mäkinen bzw. den Münzmeister Raimo Tapio Makkonen. Gefertigt wurde die Münze in der Prägestätte Suomen Rahapaja (Finnische Münze) in Vantaa."
14,25. Geburtstag Erbgroßherzog Guillaumes 3. Münze der Serie Großherzogliche Dynastie,Luxembourg,2006,1.048,False,,2 euro,"Die Münze zeigt die nach rechts blickenden Bildnisse Großherzog Henris links und Erbgroßherzog Guillaumes rechts, nach einem Fotovorlagen folgenden Gestaltungskonzept der Luxemburger Zentralbank. Oben steht der Landesname „LËTZEBUERG“ (Luxemburg) und unten das Ausgabejahr „2006“, flankiert links vom Landeskürzel „S“ (Suomi, Finnland auf Finnisch) und rechts einem Füllhorn mit Ronden als Münzstättenzeichen der finnischen Prägestätte Suomen Rahapaja (Finnische Münze) in Vantaa. Das Gipsmodell der Münze stammt von Erkki Vainio."
24,500. Jahrestag der Päpstlichen Schweizergarde,Vatican,2006,0.1,False,,2 euro,"Die von Orietta Rossi gestaltete Münze zeigt einen Schweizergardisten, der den Treueschwur auf den Papst ablegt. Dabei wird die Fahne der Garde über der waagerecht gehaltenen Fahnenstange mit der linken Hand umfasst, mit erhobener rechter Hand und drei gespreizten Fingern (was unter anderem Trinität symbolisieren soll) erfolgt der Schwur. Die Vereidigung der neuen Rekruten findet am 6. Mai (dem Jahrestag der Plünderung Roms 1527) statt – 2006 zum ersten Mal auf dem Petersplatz. Die Aufschrift „GUARDIA SVIZZERA PONTIFICIA“ (Päpstliche Schweizergarde) bildet einen Halbkreis um den Gardisten, unter der Fahne steht „CITTÀ DEL VATICANO“ (Vatikanstadt). Links erscheint mit „1506“ das Gründungsjahr der Garde, rechts das Ausgabejahr „2006“ und darunter das Münzstättenzeichen „R“ der italienischen Prägestätte Istituto Poligrafico e Zecca dello Stato in Rom. Die Signets „O.ROSSI“ der Designerin und „M.C.C.INC.“ (INC. = Incisore / Graveur) der Graveurin Maria Carmela Colaneri stehen links und rechts über der Fahne."
23,500. Todestag von Christoph Kolumbus,San Marino,2006,0.12,False,,2 euro,"Christoph Kolumbus (≈1451–1506) war ein italienischer Seefahrer in kastilischen Diensten, der im Jahr 1492 Amerika entdeckte, als er eine Insel der Bahamas erreichte. Luciana De Simoni zeigt sein Porträt nach einem – mit seinem Namen und der Jahreszahl 1519 versehenen – Gemälde Sebastiano del Piombos, zusammen mit seinen drei Segelschiffen Niña, Pinta und Santa Maria, mit denen er den Atlantik überquerte. Unter dem Schriftzug „SAN MARINO“ ist oben eine 16-strahlige Sonne in Form einer Windrose abgebildet, einem grafischen Mittel, um Winde und Windrichtungen beziehungsweise Himmelsrichtungen darzustellen. Unten erscheinen auf einer Schriftrolle die Jahreszahlen „1506✧2006“, darunter die Initialen „LDS“ der Designerin. Das Münzstättenzeichen „R“ der italienischen Prägestätte Istituto Poligrafico e Zecca dello Stato in Rom ist links des obersten Schiffes platziert."
20,Olympische Winterspiele in Turin 2006,Italy,2006,40.0,False,,2 euro,"Die Olympischen Winterspiele 2006 fanden in Turin statt, wobei die Wettbewerbe im Ski Alpin im ca. 2000 m hoch gelegenen Sestriere ausgetragen wurden. Die von Maria Carmela Colaneri gestaltete Münze zeigt einen alpinen Skifahrer und das 1863–1889 erbaute Wahrzeichen Turins, die Mole Antonelliana. Anfänglich vom Architekten Alessandro Antonelli als Synagoge geplant, überstiegen die aus dem Ruder laufenden Baukosten die Finanzkraft der jüdischen Gemeinde – 1877 wurde der Bau dank einer Bürgerinitiative von der Stadt Turin übernommen. Heute beherbergt er das Nationale Filmmuseum. Oben wird der Ausgabeanlass „GIOCHI INVERNALI“ (Winterspiele) genannt und unter dem Turm „TORINO“ (Turin) als Austragungsort des Sportereignisses. Rechts des Skifahrers steht in vertikaler Schreibweise das Ausgabejahr „2006“ und darunter sind die Initialen „M.C.C.“ der Designerin abgebildet. Rechts des Turms ist der Staatsname als Ligatur „RI“ (Repubblica Italiana, Italienische Republik) dargestellt und das römische Münzstättenzeichen „R“ der Prägestätte Istituto Poligrafico e Zecca dello Stato in Rom. Die Münze ist in außergewöhnlich hoher Auflage von 40 Millionen Exemplaren geprägt worden."
15,Schleswig-Holstein (Holstentor in Lübeck) 1. Münze der Bundesländerserie,Germany,2006,6.3,True,A,2 euro,"Das spätgotische, 1464–1478 erbaute und um 1871 von Grund auf restaurierte Holstentor ist dargestellt mit seiner dem Holstentorplatz zugewandten Fassade, Blick stadteinwärts. Als eines der beiden noch bestehenden Tore der mittelalterlichen Stadtbefestigung ist es seit 1987 zusammen mit der Altstadt der Hansestadt Lübeck UNESCO-Weltkulturerbe und repräsentiert auf der Gedenkmünze das darunter genannte Bundesland „SCHLESWIG-HOLSTEIN“. Links steht das Münzstättenzeichen (A = Berlin, D = München, F = Stuttgart, G = Karlsruhe oder J = Hamburg) und rechts das Signet „HH“ des Designers Heinz Hoyer. Der Name „BUNDESREPUBLIK DEUTSCHLAND“ ist in einem Halbkreis im unteren Teil des Ringes angeordnet, während oben die Jahreszahl „2006“ beiderseits durch je sechs Europasterne flankiert wird."
16,Schleswig-Holstein (Holstentor in Lübeck) 1. Münze der Bundesländerserie,Germany,2006,6.3,True,D,2 euro,"Das spätgotische, 1464–1478 erbaute und um 1871 von Grund auf restaurierte Holstentor ist dargestellt mit seiner dem Holstentorplatz zugewandten Fassade, Blick stadteinwärts. Als eines der beiden noch bestehenden Tore der mittelalterlichen Stadtbefestigung ist es seit 1987 zusammen mit der Altstadt der Hansestadt Lübeck UNESCO-Weltkulturerbe und repräsentiert auf der Gedenkmünze das darunter genannte Bundesland „SCHLESWIG-HOLSTEIN“. Links steht das Münzstättenzeichen (A = Berlin, D = München, F = Stuttgart, G = Karlsruhe oder J = Hamburg) und rechts das Signet „HH“ des Designers Heinz Hoyer. Der Name „BUNDESREPUBLIK DEUTSCHLAND“ ist in einem Halbkreis im unteren Teil des Ringes angeordnet, während oben die Jahreszahl „2006“ beiderseits durch je sechs Europasterne flankiert wird."
17,Schleswig-Holstein (Holstentor in Lübeck) 1. Münze der Bundesländerserie,Germany,2006,6.3,True,G,2 euro,"Das spätgotische, 1464–1478 erbaute und um 1871 von Grund auf restaurierte Holstentor ist dargestellt mit seiner dem Holstentorplatz zugewandten Fassade, Blick stadteinwärts. Als eines der beiden noch bestehenden Tore der mittelalterlichen Stadtbefestigung ist es seit 1987 zusammen mit der Altstadt der Hansestadt Lübeck UNESCO-Weltkulturerbe und repräsentiert auf der Gedenkmünze das darunter genannte Bundesland „SCHLESWIG-HOLSTEIN“. Links steht das Münzstättenzeichen (A = Berlin, D = München, F = Stuttgart, G = Karlsruhe oder J = Hamburg) und rechts das Signet „HH“ des Designers Heinz Hoyer. Der Name „BUNDESREPUBLIK DEUTSCHLAND“ ist in einem Halbkreis im unteren Teil des Ringes angeordnet, während oben die Jahreszahl „2006“ beiderseits durch je sechs Europasterne flankiert wird."
18,Schleswig-Holstein (Holstentor in Lübeck) 1. Münze der Bundesländerserie,Germany,2006,6.3,True,F,2 euro,"Das spätgotische, 1464–1478 erbaute und um 1871 von Grund auf restaurierte Holstentor ist dargestellt mit seiner dem Holstentorplatz zugewandten Fassade, Blick stadteinwärts. Als eines der beiden noch bestehenden Tore der mittelalterlichen Stadtbefestigung ist es seit 1987 zusammen mit der Altstadt der Hansestadt Lübeck UNESCO-Weltkulturerbe und repräsentiert auf der Gedenkmünze das darunter genannte Bundesland „SCHLESWIG-HOLSTEIN“. Links steht das Münzstättenzeichen (A = Berlin, D = München, F = Stuttgart, G = Karlsruhe oder J = Hamburg) und rechts das Signet „HH“ des Designers Heinz Hoyer. Der Name „BUNDESREPUBLIK DEUTSCHLAND“ ist in einem Halbkreis im unteren Teil des Ringes angeordnet, während oben die Jahreszahl „2006“ beiderseits durch je sechs Europasterne flankiert wird."
19,Schleswig-Holstein (Holstentor in Lübeck) 1. Münze der Bundesländerserie,Germany,2006,6.3,True,J,2 euro,"Das spätgotische, 1464–1478 erbaute und um 1871 von Grund auf restaurierte Holstentor ist dargestellt mit seiner dem Holstentorplatz zugewandten Fassade, Blick stadteinwärts. Als eines der beiden noch bestehenden Tore der mittelalterlichen Stadtbefestigung ist es seit 1987 zusammen mit der Altstadt der Hansestadt Lübeck UNESCO-Weltkulturerbe und repräsentiert auf der Gedenkmünze das darunter genannte Bundesland „SCHLESWIG-HOLSTEIN“. Links steht das Münzstättenzeichen (A = Berlin, D = München, F = Stuttgart, G = Karlsruhe oder J = Hamburg) und rechts das Signet „HH“ des Designers Heinz Hoyer. Der Name „BUNDESREPUBLIK DEUTSCHLAND“ ist in einem Halbkreis im unteren Teil des Ringes angeordnet, während oben die Jahreszahl „2006“ beiderseits durch je sechs Europasterne flankiert wird."
